City,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,City
Denver,0.05668016194331984,1990.6904761904761,3.824800000000001,60.74576271186441,92.67796610169492,,0.0,0.02247191011235955,0.31683168316831684,0.008097165991902834,0.04048582995951417,29.0,73.29999999999966,130.33000000000084,Denver
Des Moines,0.0,1924.0,4.066666666666666,64.0,84.66666666666667,,0.0,1.0,1.0,0.0,0.0,,,,Des Moines
Des Plaines,0.0,1970.2,3.7599999999999993,74.0,96.0,78.0,0.0,,,0.0,0.0,11.0,80.18,113.52000000000001,Des Plaines
Detroit,0.0,1990.2,4.220000000000001,93.8,126.0,,0.0,,,0.0,0.0,54.0,63.85,78.58,Detroit
Dolores,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,,,,Dolores
Doral,0.0,2018.0,3.55,76.0,127.0,,0.0,0.0,0.0,0.0,0.0,24.0,74.16,100.26,Doral
Downers Grove,0.21052631578947367,1973.0588235294117,3.378947368421053,58.0,75.53333333333333,87.5,0.0,1.0,1.0,0.0,0.15789473684210525,11.0,80.18000000000004,113.52000000000001,Downers Grove
Downey,0.0,,3.7,,,65.0,0.0,,,0.0,0.0,19.0,76.55,113.78,Downey
Doylestown,1.0,,2.85,37.333333333333336,52.0,,0.0,,,0.0,0.0,13.0,78.84,100.23,Doylestown
Draper,0.0,2003.5,3.706666666666666,26.0,47.0,,0.0,0.0,0.48484848484848486,0.0,0.06666666666666667,51.0,64.76000000000006,129.35000000000005,Draper
